"Gene","Scaffold","Gene_Start","Gene_End","Score","Strand","note","Function","Additional_info","Gene_size","A_thaliana_orthologue"
"g06640","scaffold_12",549094,550728,0.1,"+",".","Post-illumination chlorophyll fluorescence increase protein","ahrd-qc=***",1634,"AT3G15840"
"g06641","scaffold_12",551084,552619,0.62,"-",".","Phosphatidylcholine:diacylglycerol cholinephosphotransferase 2","ahrd-qc=***",1535,"AT3G15830"
"g06642","scaffold_12",556615,559219,0.19,"-",".","Phosphatidylcholine:diacylglycerol cholinephosphotransferase 1","ahrd-qc=***",2604,"AT3G15820"
"g06643","scaffold_12",561004,562510,0.1,"+",".","Protein LURP-one-related 12","ahrd-qc=***",1506,"AT3G15810"
"g06644","scaffold_12",565555,567759,0.16,"-",".","Glucan endo-1%2C3-beta-glucosidase 14","ahrd-qc=***",2204,"AT3G15800"
"g06645","scaffold_12",568195,569769,0.2,"-",".","Methyl-CpG-binding domain-containing protein 11","ahrd-qc=***",1574,"AT3G15790"
"g06646","scaffold_12",570231,571369,0.26,"-",".","Unknown protein","",1138,"AT3G15780"
"g06647","scaffold_12",571461,572729,0.51,"-",".","Unknown protein","",1268,"AT3G15770"
"g06648","scaffold_12",574476,575389,0.19,"-",".","At3g15760","ahrd-qc=***",913,"AT3G15760"
"g06649","scaffold_12",580654,581508,0.53,"+",".","RING/U-box domain-containing protein","ahrd-qc=***",854,NA
"g06650","scaffold_12",581520,585099,0.27,"-",".","Phospholipase D","ahrd-qc=***",3579,"AT3G15730"
"g06651","scaffold_12",591724,596251,0.15,"+",".","Glutamate--tRNA ligase%2C cytoplasmic","ahrd-qc=*-*",4527,"AT3G15720"
"g06653","scaffold_12",599514,601041,0.28,"+",".","Signal peptidase I","ahrd-qc=***",1527,"AT3G15710"
"g06654","scaffold_12",601934,603795,0.12,"+",".","Disease resistance protein","ahrd-qc=*-*",1861,"AT3G15700"
"g06655","scaffold_12",604740,607279,0.32,"-",".","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","ahrd-qc=***",2539,"AT3G15690"
"g06656","scaffold_12",607801,609419,0.14,"-",".","Zinc finger (Ran-binding) family protein","ahrd-qc=***",1618,"AT3G15680"
"g06657","scaffold_12",613074,614168,0.11,"+",".","Late embryogenesis abundant protein 76","ahrd-qc=***",1094,"AT3G15670"
"g06658","scaffold_12",614574,616236,0.75,"+",".","Glutaredoxin family protein","ahrd-qc=***",1662,"AT3G15660"
"g06659","scaffold_12",616262,618309,0.43,"-",".","Acyl-protein thioesterase%2C putative","ahrd-qc=***",2047,"AT3G15650"
"g06660","scaffold_12",626565,629119,0.17,"-",".","Cytochrome c oxidase subunit 5b-1%2C mitochondrial","ahrd-qc=***",2554,"AT3G15640"
"g06661","scaffold_12",634514,635198,0.27,"+",".","Unknown protein","",684,"AT3G15630"
"g06662","scaffold_12",635744,638925,0.3,"+",".","(6-4)DNA photolyase","ahrd-qc=***",3181,"AT3G15620"
"g06663","scaffold_12",639084,641212,0.73,"+",".","Serine-threonine kinase receptor-associated protein","ahrd-qc=***",2128,"AT3G15610"
"g06664","scaffold_12",641984,642996,0.5,"+",".","Histone H2A","ahrd-qc=***",1012,NA
"g06665","scaffold_12",643141,646909,0.02,"-",".","Nucleic acid binding protein","ahrd-qc=***",3768,"AT3G15605"
"g06666","scaffold_12",647644,650179,0.19,"+",".","Pentatricopeptide repeat-containing protein At3g15590%2C mitochondrial","ahrd-qc=***",2535,"AT3G15590"
"g06667","scaffold_12",650444,651468,0.14,"+",".","Autophagy-related protein 8i","ahrd-qc=***",1024,"AT3G15580"
"g06668","scaffold_12",653494,655049,0.24,"+",".","Phototropic-responsive NPH3 family protein","ahrd-qc=***",1555,"AT3G15570"
"g06669","scaffold_12",655125,658079,0.12,"-",".","FCH and double SH3 domains 1","ahrd-qc=***",2954,"AT3G15550"
"g06671","scaffold_12",662909,664399,0.4,"-",".","Auxin-responsive protein","ahrd-qc=***",1490,"AT3G15540"
"g06672","scaffold_12",679042,680507,0.59,"+",".","Demethylmenaquinone methyltransferase","ahrd-qc=***",1465,"AT3G15530"
"g06673","scaffold_12",681032,683900,0.16,"+",".","Peptidyl-prolyl cis-trans isomerase%2C putative","ahrd-qc=***",2868,"AT3G15520"
"g06674","scaffold_12",683913,684367,0.16,"-",".","Unknown protein","",454,"AT3G15518"
"g06675","scaffold_12",689181,690777,0.05,"-",".","NAC transcription factor 56","ahrd-qc=***",1596,"AT3G15510"
"g06676","scaffold_12",700101,701367,0.32,"-",".","NAC domain-containing protein 55","ahrd-qc=***",1266,"AT3G15500"
"g06677","scaffold_12",710198,711587,0.11,"-",".","Regulator of Vps4 activity in the MVB pathway protein","ahrd-qc=***",1389,"AT3G15490"
"g06678","scaffold_12",721522,723070,0.1,"+",".","Fiber protein Fb34","ahrd-qc=***",1548,"AT3G15480"
"g06680","scaffold_12",735892,739601,0.16,"+",".","WD-40 repeat family protein","ahrd-qc=***",3709,"AT3G15470"
"g06681","scaffold_12",739812,741902,0.16,"+",".","Ribosome biogenesis BRX1","ahrd-qc=***",2090,"AT3G15460"
"g06682","scaffold_12",750048,751137,0.51,"-",".","Stem-specific TSJT1","ahrd-qc=***",1089,"AT3G15450"
"g06683","scaffold_12",758248,761267,0.5,"-",".","Regulator of chromosome condensation family protein","ahrd-qc=***",3019,"AT3G15430"
"g06684","scaffold_12",761582,762618,0.25,"+",".","Unknown protein","",1036,"AT3G15420"
"g06685","scaffold_12",762693,766927,0.46,"-",".","Leucine-rich repeat family protein","ahrd-qc=***",4234,"AT3G15410"
"g06686","scaffold_12",767238,768487,0.15,"-",".","Unknown protein","",1249,"AT3G15400"
"g06687","scaffold_12",768621,769437,0.07,"-",".","Unknown protein","",816,NA
"g06688","scaffold_12",769752,773641,0.17,"+",".","Protein silencing defective 5","ahrd-qc=***",3889,"AT3G15390"
"g06694","scaffold_12",796004,799467,0.14,"-",".","Choline transporter-like protein 2","ahrd-qc=***",3463,"AT3G15380"
"g06695","scaffold_12",801209,802847,0.17,"-",".","Expansin-A12","ahrd-qc=***",1638,"AT3G15370"
"g06696","scaffold_12",803843,805447,0.3,"-",".","Thioredoxin M4%2C chloroplastic","ahrd-qc=***",1604,"AT3G15360"
"g06700","scaffold_12",819888,820587,0.2,"-",".","Unknown protein","",699,"AT3G15357"
"g06701","scaffold_12",821373,825467,0.09,"-",".","Ubiquitin-conjugating enzyme 23","ahrd-qc=***",4094,"AT3G15355"
"g06702","scaffold_12",832069,832820,0.83,"+",".","Metallothionein-like protein 3","ahrd-qc=***",751,NA
"g06703","scaffold_12",832832,834024,0.27,"-",".","Cytochrome c oxidase copper chaperone 1","ahrd-qc=***",1192,"AT3G15352"
"g06704","scaffold_12",834785,835834,0.5,"-",".","BnaC05g38260D protein","ahrd-qc=***",1049,"AT3G15358"
"g06705","scaffold_12",836055,837624,0.15,"-",".","At3g15351","ahrd-qc=***",1569,"AT3G15351"
"g06706","scaffold_12",838249,839321,0.56,"+",".","Legume lectin family protein","ahrd-qc=***",1072,"AT3G15356"
"g06707","scaffold_12",840709,844650,0.64,"+",".","Ubiquitin ligase protein cop1%2C putative","ahrd-qc=***",3941,"AT3G15354"
"g06708","scaffold_12",844683,847404,0.68,"-",".","Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein","ahrd-qc=***",2721,"AT3G15350"
"g06709","scaffold_12",851289,854221,0.09,"+",".","Proton pump-interactor 2","ahrd-qc=***",2932,"AT3G15340"
"g06713","scaffold_12",870839,871753,0.38,"+",".","VQ motif-containing protein 19","ahrd-qc=***",914,"AT3G15300"
"g06714","scaffold_12",873067,874784,0.11,"-",".","3-hydroxybutyryl-CoA dehydrogenase","ahrd-qc=***",1717,"AT3G15290"
"g06715","scaffold_12",874989,875911,0.17,"+",".","AT3g15280/K7L4_8","ahrd-qc=***",922,"AT3G15280"
"g06716","scaffold_12",877134,881344,0.31,"-",".","Phosphatase 2C family protein","ahrd-qc=***",4210,"AT3G15260"
"g06717","scaffold_12",887909,889439,0.08,"+",".","Unknown protein","",1530,"AT3G15250"
"g06718","scaffold_12",889707,892184,0.25,"-",".","Serine/Threonine-kinase WNK (WNK)-like protein","ahrd-qc=***",2477,"AT3G15240"
"g06719","scaffold_12",894049,900089,0.15,"+",".","Serine/threonine-protein kinase 24","ahrd-qc=***",6040,"AT3G15220"
"g06721","scaffold_12",907254,908294,0.3,"-",".","Ethylene-responsive transcription factor 4","ahrd-qc=***",1040,NA
"g06722","scaffold_12",911009,912822,0.23,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",1813,"AT3G15200"
"g06723","scaffold_12",912840,914084,0.3,"-",".","30S ribosomal protein S20%2C chloroplastic","ahrd-qc=***",1244,"AT3G15190"
"g06724","scaffold_12",914228,918454,0.23,"-",".","ARM repeat superfamily protein","ahrd-qc=***",4226,"AT3G15180"
"g06725","scaffold_12",922624,925444,0.24,"-",".","NAC domain protein%2C","ahrd-qc=*-*",2820,"AT3G15170"
"g06726","scaffold_12",926694,930764,0.19,"-",".","AP-5 complex subunit zeta-like protein","ahrd-qc=***",4070,"AT3G15160"
"g06727","scaffold_12",931049,933371,0.09,"+",".","E3 SUMO-protein ligase MMS21","ahrd-qc=***",2322,"AT3G15150"
"g06728","scaffold_12",933459,940632,0.06,"+",".","Pentatricopeptide repeat-containing family protein","ahrd-qc=***",7173,"AT3G15130"
"g06729","scaffold_12",940682,941994,0.3,"-",".","F-box protein At2g17690","ahrd-qc=***",1312,NA
"g06730","scaffold_12",946579,953981,0.16,"+",".","ATP-dependent zinc metalloprotease FtsH","ahrd-qc=*-*",7402,"AT3G15120"
"g06731","scaffold_12",954769,956014,0.16,"+",".","BnaC05g38490D protein","ahrd-qc=***",1245,"AT3G15115"
"g06732","scaffold_12",956279,957786,0.36,"+",".","At3g15110","ahrd-qc=***",1507,"AT3G15110"
"g06733","scaffold_12",958001,960164,0.2,"-",".","High chlorophyll fluorescence 243","ahrd-qc=***",2163,"AT3G15095"
"g06734","scaffold_12",965722,968014,0.36,"-",".","Zinc-binding dehydrogenase%2C putative","ahrd-qc=***",2292,"AT3G15090"
"g06735","scaffold_12",968430,970484,0.25,"-",".","RNA exonuclease 4","ahrd-qc=***",2054,"AT3G15080"
"g06736","scaffold_12",971379,974398,0.2,"+",".","RING-finger protein (C-terminal)-like","ahrd-qc=***",3019,"AT3G15070"
"g06737","scaffold_12",974449,975624,0.17,"-",".","Ras-related protein Rab-25","ahrd-qc=***",1175,"AT3G15060"
"g06738","scaffold_12",976889,978774,0.18,"+",".","Unknown protein","",1885,"AT3G13280"
"g06739","scaffold_12",980620,984724,0.05,"-",".","Unknown protein","",4104,NA
"g06741","scaffold_12",991649,992883,0.22,"+",".","IQ-domain 10","ahrd-qc=***",1234,"AT3G15050"
"g06742","scaffold_12",992979,994393,0.18,"+",".","At3g15040","ahrd-qc=***",1414,"AT3G15040"
"g06743","scaffold_12",995638,997954,0.31,"-",".","Transcription factor TCP4","ahrd-qc=***",2316,"AT3G15030"
"g06744","scaffold_12",1002858,1005024,0.21,"-",".","Malate dehydrogenase","ahrd-qc=***",2166,"AT3G15020"
"g06745","scaffold_12",1005680,1008434,0.13,"-",".","RNA-binding family protein","ahrd-qc=***",2754,"AT3G15010"
"g06746","scaffold_12",1008820,1010964,0.18,"-",".","Multiple organellar RNA editing factor 8%2C chloroplastic/mitochondrial","ahrd-qc=***",2144,"AT3G15000"
"g06747","scaffold_12",1011382,1013734,0.28,"-",".","Class I glutamine amidotransferase-like superfamily protein isoform 1","ahrd-qc=***",2352,"AT3G14990"
"g06748","scaffold_12",1018279,1023951,0.07,"+",".","Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein%2C putative","ahrd-qc=*-*",5672,"AT3G14980"
"g06749","scaffold_12",1024079,1024895,0.44,"+",".","Zinc finger family protein","ahrd-qc=***",816,"AT3G14970"
"g06750","scaffold_12",1027369,1029637,0.22,"+",".","Beta-1%2C3-galactosyltransferase-like protein","ahrd-qc=***",2268,"AT3G14960"
"g06751","scaffold_12",1030419,1031764,0.26,"+",".","1-aminocyclopropane-1-carboxylate oxidase like 1","ahrd-qc=***",1345,NA
"g06753","scaffold_12",1034249,1040210,0.01,"+",".","RNA-directed DNA polymerase-like protein","ahrd-qc=*-*",5961,NA
"g06754","scaffold_12",1042969,1045988,0.22,"+",".","TPR repeat-containing thioredoxin TTL2","ahrd-qc=***",3019,"AT3G14950"
"g06755","scaffold_12",1046285,1050834,0.81,"-",".","Phosphoenolpyruvate carboxylase 3","ahrd-qc=***",4549,"AT3G14940"
"g06756","scaffold_12",1053181,1055504,0.54,"-",".","Uroporphyrinogen decarboxylase","ahrd-qc=***",2323,"AT3G14930"
"g06757","scaffold_12",1057890,1059894,0.38,"-",".","Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein","ahrd-qc=***",2004,"AT3G14920"
"g06758","scaffold_12",1060362,1062674,0.22,"-",".","Rab3 gtpase-activating protein non-catalytic subunit%2C putative","ahrd-qc=***",2312,"AT3G14910"
"g06759","scaffold_12",1062769,1064835,0.32,"+",".","BnaA05g24630D protein","ahrd-qc=***",2066,"AT3G14900"
"g06760","scaffold_12",1064878,1069544,0.43,"-",".","Bifunctional polynucleotide phosphatase/kinase","ahrd-qc=***",4666,"AT3G14890"
"g06761","scaffold_12",1070384,1071844,0.37,"-",".","DNA-binding protein-related","ahrd-qc=***",1460,"AT3G14880"
"g06762","scaffold_12",1073281,1076814,0.25,"-",".","UNE1-like protein","ahrd-qc=***",3533,"AT3G14870"
"g06763","scaffold_12",1078759,1081364,0.45,"+",".","NHL repeat-containing protein","ahrd-qc=***",2605,"AT3G14860"
"g06764","scaffold_12",1081936,1084084,0.19,"-",".","Protein trichome birefringence-like 41","ahrd-qc=***",2148,"AT3G14850"
"g06765","scaffold_12",1086614,1092434,0.29,"-",".","Receptor-like protein kinase","ahrd-qc=***",5820,"AT3G14840"
"g06767","scaffold_12",1101938,1104764,0.28,"-",".","Photosystem I reaction center subunit VI%2C chloroplastic","ahrd-qc=***",2826,"AT3G14830"
"g06768","scaffold_12",1114989,1118323,0.25,"+",".","Mechanosensitive ion channel protein 5","ahrd-qc=***",3334,"AT3G14810"
"g06770","scaffold_12",1122425,1125124,0.23,"-",".","dTDP-D-glucose 4%2C6-dehydratase","ahrd-qc=***",2699,"AT3G14790"
"g06771","scaffold_12",1125909,1127591,0.7,"+",".","Unknown protein","",1682,NA
"g06772","scaffold_12",1130159,1132216,0.9,"+",".","Bidirectional sugar transporter SWEET2","ahrd-qc=***",2057,"AT3G14770"
"g06773","scaffold_12",1132292,1133144,0.51,"-",".","BnaC01g36610D protein","ahrd-qc=***",852,"AT3G14760"
"g06774","scaffold_12",1133989,1136067,0.1,"+",".","Gb:AAD10662.1%2C putative isoform 1","ahrd-qc=***",2078,"AT3G14750"
"g06775","scaffold_12",1136299,1137704,0.81,"+",".","PHD finger family protein","ahrd-qc=***",1405,"AT3G14740"
"g06776","scaffold_12",1139149,1141362,0.61,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",2213,"AT3G14730"
"g06777","scaffold_12",1141482,1144884,0.87,"-",".","Mitogen-activated protein kinase 19","ahrd-qc=***",3402,"AT3G14720"
"g06778","scaffold_12",1148426,1150994,0.27,"-",".","F-box/FBD/LRR-repeat protein At3g14710","ahrd-qc=***",2568,"AT3G14710"
"g06779","scaffold_12",1153861,1155904,0.22,"-",".","Cytochrome P450","ahrd-qc=***",2043,"AT3G14690"
"g06784","scaffold_12",1173441,1175484,0.65,"-",".","Cytochrome P450","ahrd-qc=***",2043,"AT3G14620"
"g06785","scaffold_12",1175672,1177894,0.58,"-",".","Cytochrome P450","ahrd-qc=***",2222,"AT3G14610"
"g06786","scaffold_12",1184885,1186289,0.35,"-",".","60S ribosomal protein L18a-3","ahrd-qc=***",1404,"AT3G14600"
"g06787","scaffold_12",1186635,1188199,0.38,"-",".","60S ribosomal protein L18a-like protein","ahrd-qc=***",1564,"AT3G14595"
"g06788","scaffold_12",1190424,1194128,0.15,"+",".","Integral membrane single C2 domain protein","ahrd-qc=***",3704,"AT3G14590"
"g06789","scaffold_12",1194135,1205839,0.19,"-",".","Callose synthase-like protein","ahrd-qc=***",11704,"AT3G14570"
"g06791","scaffold_12",1226884,1228269,0.51,"+",".","Geranylgeranyl-diphosphate synthase","ahrd-qc=***",1385,NA
"g06792","scaffold_12",1232404,1234620,0.07,"+",".","Terpenoid synthase 17","ahrd-qc=***",2216,"AT3G14490"
"g06795","scaffold_12",1238343,1239079,0.11,"-",".","Unknown protein","",736,"AT3G14480"
"g06796","scaffold_12",1239602,1244279,0.02,"-",".","Disease resistance protein","ahrd-qc=*-*",4677,"AT3G14470"
"g06797","scaffold_12",1244614,1249162,0.06,"+",".","Disease resistance protein","ahrd-qc=***",4548,"AT3G14460"
"g06798","scaffold_12",1249175,1251819,0.05,"-",".","Polyadenylate-binding protein-interacting protein 9","ahrd-qc=***",2644,"AT3G14450"
"g06799","scaffold_12",1290834,1293104,0.29,"+",".","9-cis-epoxycarotenoid dioxygenase","ahrd-qc=***",2270,"AT3G14440"
"g06800","scaffold_12",1300454,1301070,0.37,"+",".","Unknown protein","",616,"AT3G14430"
"g06801","scaffold_12",1301075,1303579,0.44,"-",".","Glycolate oxidase","ahrd-qc=***",2504,"AT3G14420"
"g06802","scaffold_12",1304165,1306699,0.43,"-",".","Glycolate oxidase","ahrd-qc=***",2534,"AT3G14415"
"g06803","scaffold_12",1307194,1309420,0.49,"+",".","Phosphate translocator-related family protein","ahrd-qc=***",2226,"AT3G14410"
"g06804","scaffold_12",1309774,1313474,0.1,"+",".","Ubiquitin carboxyl-terminal hydrolase 25","ahrd-qc=***",3700,"AT3G14400"
"g06805","scaffold_12",1313755,1314249,0.64,"-",".","Unknown protein","",494,"AT3G14395"
"g06807","scaffold_12",1321935,1324269,0.21,"-",".","Diaminopimelate decarboxylase 2","ahrd-qc=***",2334,"AT3G14390"
"g06808","scaffold_12",1328204,1328963,0.17,"+",".","CASP-like protein","ahrd-qc=***",759,"AT3G14380"
"g06809","scaffold_12",1336064,1337698,0.18,"+",".","Serine/threonine-protein kinase WAG2","ahrd-qc=***",1634,"AT3G14370"
"g06810","scaffold_12",1339924,1340672,0.27,"+",".","Unknown protein","",748,NA
"g06811","scaffold_12",1340711,1342829,0.35,"-",".","Lipase class 3 family protein","ahrd-qc=***",2118,"AT3G14360"
"g06812","scaffold_12",1348671,1353158,0.37,"+",".","Protein STRUBBELIG-RECEPTOR FAMILY 7","ahrd-qc=***",4487,"AT3G14350"
"g06813","scaffold_12",1354291,1356482,0.04,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",2191,"AT3G14330"
"g06814","scaffold_12",1359961,1363483,0.31,"+",".","Pectinesterase","ahrd-qc=***",3522,"AT3G14310"
"g06816","scaffold_12",1371622,1373996,0.6,"-",".","Proteasome subunit alpha type-5-B","ahrd-qc=***",2374,"AT3G14290"
"g06817","scaffold_12",1375751,1376678,0.65,"+",".","At3g14280","ahrd-qc=***",927,"AT3G14280"
"g06818","scaffold_12",1376752,1384306,0.11,"-",".","Phosphatidylinositol-4-phosphate 5-kinase family protein","ahrd-qc=***",7554,"AT3G14270"
"g06819","scaffold_12",1389261,1390267,0.73,"+",".","Protein LURP-one-related 11","ahrd-qc=***",1006,"AT3G14260"
"g06820","scaffold_12",1393201,1394365,0.14,"+",".","Protein binding protein","ahrd-qc=***",1164,"AT3G14250"
"g06821","scaffold_12",1398061,1400671,0.29,"+",".","Subtilisin-like protease","ahrd-qc=***",2610,"AT3G14240"
"g06822","scaffold_12",1405421,1407797,0.52,"+",".","Ethylene-responsive transcription factor RAP2-2","ahrd-qc=***",2376,"AT3G14230"
"g06824","scaffold_12",1415031,1416485,0.26,"+",".","GDSL esterase/lipase 4","ahrd-qc=***",1454,"AT3G14225"
"g06825","scaffold_12",1416492,1418066,0.61,"-",".","GDSL esterase/lipase At3g14220","ahrd-qc=***",1574,"AT3G14220"
"g06828","scaffold_12",1433171,1438334,0.16,"+",".","Phosphoinositide phosphatase family protein","ahrd-qc=***",5163,"AT3G14205"
"g06829","scaffold_12",1440151,1442196,0.68,"+",".","Chaperone DnaJ-domain containing protein","ahrd-qc=***",2045,"AT3G14200"
"g06830","scaffold_12",1445872,1447366,0.51,"-",".","At3g14190","ahrd-qc=***",1494,"AT3G14190"
"g06832","scaffold_12",1448811,1450835,0.05,"+",".","Transcription factor","ahrd-qc=***",2024,"AT3G14180"
"g06833","scaffold_12",1455271,1462525,0.15,"+",".","BnaC05g52130D protein","ahrd-qc=***",7254,"AT3G14172"
"g06834","scaffold_12",1462741,1465007,0.04,"+",".","At3g14170","ahrd-qc=***",2266,"AT3G14170"
"g06835","scaffold_12",1465209,1467536,0.08,"-",".","Alpha-ketoglutarate-dependent dioxygenase AlkB","ahrd-qc=***",2327,"AT3G14160"
"g06836","scaffold_12",1467911,1470635,0.1,"+",".","Peroxisomal (S)-2-hydroxy-acid oxidase GLO3","ahrd-qc=***",2724,NA
"g06837","scaffold_12",1470801,1473411,0.36,"+",".","Peroxisomal (S)-2-hydroxy-acid oxidase GLO4","ahrd-qc=***",2610,"AT3G14130"
"g06838","scaffold_12",1473485,1481586,0.56,"-",".","Nuclear pore complex protein NUP107","ahrd-qc=***",8101,"AT3G14120"
"g06839","scaffold_12",1481791,1483435,0.11,"+",".","Protein FLUORESCENT IN BLUE LIGHT%2C chloroplastic","ahrd-qc=***",1644,"AT3G14110"
"g06840","scaffold_12",1483438,1486876,0.38,"-",".","Oligouridylate-binding protein 1C","ahrd-qc=***",3438,"AT3G14100"
"g06841","scaffold_12",1492641,1495247,0.5,"+",".","Exocyst subunit exo70 family protein D3","ahrd-qc=***",2606,"AT3G14090"
"g06842","scaffold_12",1495355,1497116,0.14,"-",".","U6 snRNA-associated Sm-like protein LSm1","ahrd-qc=***",1761,"AT3G14080"
"g06843","scaffold_12",1498841,1502242,0.14,"+",".","Lipase family protein%2C expressed","ahrd-qc=***",3401,"AT3G14075"
